"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","ann_cum_intensity"
1979,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1980,1.5923,10,10,90,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.9229
1981,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1982,1.3042,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.8252
1983,1.8931,8,16,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.65705
1984,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1985,2.1911,5,5,80,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.9557
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1987,2.9575,5,5,80,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.7877
1988,2.38753333333333,5.66666666666667,17,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,13.6134
1989,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1990,1.3885,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.7192
1991,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1993,1.6203,6.5,13,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.5743
1994,1.4819,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.8915
1995,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1996,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1998,1.015,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.075
1999,1.7702,9,18,200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,15.20905
2000,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2001,2.13835,8,16,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18.1256
2002,3.738,10,10,70,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37.3805
2003,1.6418,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.8511
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2005,0.8014,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0069
2006,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2007,2.5759,8,8,62,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20.6075
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2009,1.7065,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.5323
2010,2.62235,5,10,160,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13.1117
2011,1.9155,8,8,88,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.3242
2012,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2013,2.1505,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.0532
2014,1.3244,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.9462
2015,2.663,10,10,80,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.6304
2016,0.4732,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.7859
2017,2.78055,10.5,21,162,31,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,27.508
2018,1.7472,13,13,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.7136
2019,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2020,1.900575,6.75,27,386,14,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,12.679375
2021,2.26175,6,12,150,50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13.57035
2022,2.986575,8,32,336,64,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,24.274975
2023,2.82415,10,20,158,42,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,28.2045
2024,3.43903333333333,17.6666666666667,53,217,82,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,74.5311
2025,3.36785,9,18,126,74,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,33.67295
2026,2.5742,14.6666666666667,44,248,39,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,30.8212666666667
2027,3.0733,13.6666666666667,41,192,108,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,43.3805333333333
2028,2.7383,13.3333333333333,40,234,61,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,34.5196
2029,2.773225,15.25,61,276,117,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,53.030425
2030,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2031,1.89323333333333,10.3333333333333,31,276,24,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,23.5777666666667
2032,2.2318,9.75,39,339,47,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,21.768425
2033,3.9426,10.3333333333333,31,144,156,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,39.4927333333333
2034,3.1772,16.25,65,334,64,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,42.74905
2035,3.09182,8.6,43,335,153,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,25.40758
2036,3.467825,12,48,259,136,0,5,0,1,2,0,0,0,1,0,0,0,0,0,0,45.66705
2037,3.3273,9.5,38,249,151,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,32.548175
2038,2.76475,11,22,180,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27.46595
2039,3.199875,9.25,37,323,77,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,31.2704
2040,2.9895,11.6,58,342,155,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,37.4186
2041,3.53566666666667,17.6666666666667,53,210,87,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,64.8085
2042,3.07485,15.25,61,263,132,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,45.612425
2043,3.159,18.75,75,295,96,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,57.56905
2044,4.2386,13.6,68,272,213,0,14,0,1,4,0,0,0,0,0,0,0,0,0,0,62.17854
2045,2.4225,12.8,64,423,67,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,32.91966
2046,2.791375,21.5,86,313,70,0,17,0,1,2,0,0,0,1,0,0,0,0,0,0,80.95765
2047,2.836175,10.5,42,326,63,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,27.1434
2048,3.25001666666667,12.5,75,445,147,0,7,0,2,4,0,0,0,0,0,0,0,0,0,0,54.1793833333333
2049,2.556875,11.5,46,318,77,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,31.696875
2050,2.902425,12.75,51,284,105,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,40.236675
2051,3.86906,11.4,57,330,150,0,20,0,1,4,0,0,0,0,0,0,0,0,0,0,54.945
2052,4.62634,12.6,63,243,217,0,33,0,0,3,0,0,1,1,0,0,0,0,0,0,59.59136
2053,4.5059,27,81,160,111,0,22,0,1,2,0,0,0,0,0,0,0,0,0,0,145.211233333333
