"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
1979,4.0849,23,46,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1981,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1982,3.7587,18,18,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1983,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1984,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1985,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1987,4.0341,13,26,190,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1988,3.467,28,28,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1989,3.6109,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1990,3.57325,14,28,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1991,3.77575,8,16,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1994,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1995,3.8511,12.6666666666667,38,300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1996,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1998,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1999,4.0112,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2000,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2001,3.2343,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2002,4.7734,16,16,75,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2003,5.3073,8,8,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2005,3.82015,10,20,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2006,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2007,3.4585,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2009,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2010,5.5175,6,6,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2012,3.5389,14,14,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2013,3.5754,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2014,5.3301,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2015,4.4506,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2018,4.49055,36,72,182,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2019,3.2016,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2020,3.565,25,50,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
