"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
2021,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2022,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2023,4.9992,7,7,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2024,5.3902,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2025,4.9146,11,11,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2026,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2027,5.30765,9,18,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2028,4.7568,9,9,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2029,5.22063333333333,9.33333333333333,28,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2030,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2031,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2032,4.5621,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2033,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2034,4.5806,14,14,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Future1","ssp370"
2035,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2036,5.3675,10,10,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2037,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2038,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2039,4.8127,7,14,200,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Future1","ssp370"
2040,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2041,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2042,4.2764,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2043,5.4512,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2044,4.98035,5.5,11,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2045,4.55723333333333,5.66666666666667,17,300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2046,5.57303333333333,7.66666666666667,23,300,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,"Future1","ssp370"
2047,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2048,4.772525,10.5,42,395,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2049,5.08195,8.5,34,400,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2050,4.6894,7,14,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2051,5.2146,13.75,55,393,7,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2052,5.0569,13.5,54,400,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2053,6.448,57,57,75,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2054,9.03,17,17,12,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2055,5.14215,42.5,85,199,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Future1","ssp370"
2056,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2057,5.76625,34,68,188,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2058,5.21386,10.4,52,474,26,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2059,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2060,5.6819,30,90,280,17,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
