"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
2021,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2022,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2023,5.2621,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2024,4.86,7,14,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2025,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2026,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2027,3.9353,20,20,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2028,6.40405,7.5,15,143,57,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2029,3.57,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2030,4.2685,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2031,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2032,4.65873333333333,9,27,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2033,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2034,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2035,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2036,5.10975,5,10,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2037,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2038,5.6777,7,7,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2039,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2040,4.6626,9,9,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2041,4.5243,36,36,94,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2042,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2043,4.3204,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2044,6.0466,9,9,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2045,5.38905,8,16,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2046,4.98736666666667,16,48,285,7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2047,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2048,4.8265,7,7,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2049,5.9637,18.5,37,157,43,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2050,4.0776,10,20,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2051,4.10025,15.5,31,193,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2052,3.7109,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2053,3.5401,13,13,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2054,4.729675,9,36,400,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2055,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2056,4.796425,9.25,37,400,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2057,5.1155,10,30,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2058,4.963,8,16,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2059,4.6241,7.75,31,393,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2060,4.27575,7.5,15,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
