"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
2061,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2062,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2063,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2064,4.8638,10,20,200,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2065,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2066,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2067,3.7704,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2068,3.84875,8,16,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2069,3.2449,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2070,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2071,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2072,3.788,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2073,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2074,3.8731,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2075,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2076,4.60236666666667,14,42,283,10,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,"Future2","ssp370"
2077,3.61935,14,28,188,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Future2","ssp370"
2078,3.60746666666667,16,48,288,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,"Future2","ssp370"
2079,5.83115,7.5,15,138,62,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2080,5.7626,8,8,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2081,3.57525,8,16,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2082,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2083,4.5998,7,14,200,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2084,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2085,3.3759,5.5,11,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2086,4.44245,7,14,200,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2087,3.5896,30,60,193,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"Future2","ssp370"
2088,4.03775,6,12,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2089,3.95005,8,16,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2090,3.5472,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2091,3.49815,6,12,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2092,5.8685,8,8,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2093,5.0945,17.5,35,193,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2094,4.5317,15.6666666666667,47,300,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,"Future2","ssp370"
2095,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2096,5.5958,29,29,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2097,4.5071,34.5,69,174,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Future2","ssp370"
2098,4.09834,12.8,64,495,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,"Future2","ssp370"
2099,4.18715,14.5,29,195,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Future2","ssp370"
