"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
1979,3.62903333333333,8,24,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1981,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1982,5.08085,16,32,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1983,4.69606666666667,11.3333333333333,34,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1984,2.9369,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1985,5.7591,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1987,4.2315,8.66666666666667,26,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1988,4.14845,18,36,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1989,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1990,3.9177,15,30,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1991,4.045825,8.5,34,400,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1992,7.6083,6,6,67,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1993,3.4154,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1994,4.0049,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1995,4.35985,12,48,400,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
1996,4.4775,14,14,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1998,4.2755,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1999,4.82,42,84,180,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
2000,4.1922,12,12,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
2001,4.61326666666667,24,72,287,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2002,4.691,22,22,73,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2003,5.2509,17,34,200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2005,4.1191,8,32,400,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2006,3.3764,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2007,4.3991,20,20,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2009,4.7885,22,22,91,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2010,5.455,14.6666666666667,44,257,43,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2012,4.77073333333333,8,24,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2013,4.923,30,30,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2014,5.8055,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2015,4.862425,19.5,78,396,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2016,3.58795,11,22,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2018,4.47962,19.6,98,500,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2019,3.8066,14,14,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2020,5.1836,13,52,350,50,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
