"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
2021,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2022,3.5797,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2025,6.1683,7,14,133,67,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2026,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2027,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2028,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2029,5.0106,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2030,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2031,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2032,4.27693333333333,12.3333333333333,37,286,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2033,4.78115,12.5,25,161,39,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2034,3.8662,16,16,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2035,3.6863,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2036,3.6732,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2037,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2038,3.9609,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2039,4.1715,11.5,23,177,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2040,4.0487,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2041,5.23153333333333,8,24,267,33,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2042,4.06835,20,40,200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2043,5.3041,7.66666666666667,23,200,100,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2044,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2045,4.13345,6.5,13,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2046,3.959,6,6,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Future1","ssp585"
2047,5.4765,13,13,92,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2048,3.5937,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2049,3.4355,15,15,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2050,3.7314,8,16,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2051,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2052,4.2206,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2053,4.14655,12.5,25,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2054,4.272,14.3333333333333,43,279,21,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2055,4.20234,9.8,49,475,25,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2056,4.66535,11,22,200,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"Future1","ssp585"
2057,4.1693,14,42,288,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2058,4.04656666666667,8.33333333333333,25,300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2059,4.7094,15,15,67,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2060,4.41286666666667,26,78,240,52,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
