"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
2021,4.065,5,5,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2022,3.9471,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2025,3.7529,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2026,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2027,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2028,5.0571,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2029,4.00445,6.5,13,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2030,4.9252,7,7,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2031,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2032,3.9578,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2033,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2034,3.5345,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2035,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2036,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2037,5.0398,9,9,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2038,5.6493,12.5,25,169,31,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Future1","ssp585"
2039,5.98565,6,12,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2040,5.6933,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2041,4.9315,10,20,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2042,4.80275,10,20,187,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2043,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2044,5.2511,17,17,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2045,4.70965,6,12,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2046,5.346,7.33333333333333,22,300,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2047,4.6722,8,16,200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2048,4.2709,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2049,4.79748,7.4,37,464,36,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2050,4.79615,7.75,31,400,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2051,5.06153333333333,12,36,278,22,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2052,4.55086666666667,8,24,300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2053,5.70436,9.2,46,477,23,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2054,5.1408,15.25,61,379,21,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2055,5.4089,10.1428571428571,71,586,114,0,0,0,2,3,1,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2056,4.89053333333333,14.3333333333333,43,300,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,"Future1","ssp585"
2057,5.002575,12.5,50,366,23,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
2058,5.71736666666667,10.3333333333333,62,509,91,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,"Future1","ssp585"
2059,6.464325,8.25,33,367,33,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,"Future1","ssp585"
2060,5.496125,12.25,49,352,48,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp585"
