"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
2021,5.1625,13.5,27,191,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Future1","ssp370"
2022,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2024,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2025,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2026,5.34615,7,14,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2027,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2028,3.9333,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2029,5.6343,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2030,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2031,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2032,6.3734,12,12,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Future1","ssp370"
2033,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2034,6.3638,7,7,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2035,5.0001,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2036,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2037,5.7549,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2038,7.5473,10,10,70,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2039,4.9409,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2040,4.7047,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2041,4.62363333333333,8.33333333333333,25,300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2042,5.0546,23,23,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2043,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2044,5.65665,5.5,11,200,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Future1","ssp370"
2045,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2046,4.4431,8,16,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2047,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2048,4.916575,6.75,27,400,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2049,5.0422,19,19,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2050,5.2263,15,45,295,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2051,5.8496,7.5,15,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2052,5.379,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2053,5.62395,14.5,29,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2054,5.6238,7,21,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2055,4.61773333333333,6,18,300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2056,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2057,5.07266666666667,7.66666666666667,23,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2058,4.4715,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2059,5.0509,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
2060,5.3401,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future1","ssp370"
