"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
1979,4.0953,8.66666666666667,26,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1980,3.4658,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1981,3.7965,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1982,5.75595,17,34,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1983,4.94076666666667,8.66666666666667,26,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1984,4.36525,6,12,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1985,6.2476,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1987,4.61535,7,14,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1988,3.7134,26,26,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1989,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1990,4.36156666666667,12.6666666666667,38,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1991,4.8345,8.66666666666667,26,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1992,8.5685,6,6,67,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1994,3.895,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1995,4.37525,12.5,50,400,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
1996,4.3211,8,8,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1998,4.3393,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1999,5.06705,13,78,600,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2000,4.3005,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2001,4.766975,19.5,78,394,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2002,5.1021,20,20,80,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2003,5.7159,15,30,200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2005,4.71992,8.4,42,500,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2006,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2007,4.0627,20,20,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2008,4.6963,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2009,4.4819,24,24,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2010,5.501775,11,44,305,83,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2012,4.61454,7.6,38,500,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2013,5.3885,32,32,88,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2014,4.76475,8,16,200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
2015,4.966475,14,56,400,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2016,4.35375,8,16,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2017,4.4567,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2018,4.41418333333333,12.6666666666667,76,600,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2019,4.0272,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2020,5.8309,17,34,145,55,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
