"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
2061,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2062,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2063,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2064,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2065,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2066,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2067,4.1791,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2068,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2069,2.8207,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2070,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2071,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2072,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2073,5.8264,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2074,3.1242,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2075,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2076,5.3293,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2077,7.0174,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2078,4.01395,7.5,15,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2079,3.374,11,11,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2080,5.1187,10,10,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2081,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2082,3.40215,11.5,23,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2083,3.8869,5.66666666666667,17,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2084,5.34665,12,24,200,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"Future2","ssp585"
2085,4.5754,19.5,39,184,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2086,5.2072,8.33333333333333,25,300,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2087,3.48405,7,14,200,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"Future2","ssp585"
2088,5.542375,10,40,392,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2089,3.72985,16,32,180,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2090,3.4213,6.5,13,200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Future2","ssp585"
2091,4.5156,19,19,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2092,3.30645,10,20,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2093,6.00576666666667,5.66666666666667,17,283,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2094,4.58234,10.2,51,500,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2095,3.954,12.75,51,377,15,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2096,4.06276666666667,18.6666666666667,56,234,54,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,"Future2","ssp585"
2097,3.95335,10.5,42,389,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,"Future2","ssp585"
2098,3.959125,11,44,379,21,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Future2","ssp585"
2099,3.94511666666667,7.66666666666667,46,600,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,"Future2","ssp585"
