"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
1979,4.19365,19,38,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1981,3.375,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1982,3.7314,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1983,4.24055,7,14,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1984,3.7125,16,32,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1985,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1987,3.97056666666667,12.6666666666667,38,300,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1988,3.953,19,38,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1989,4.4064,6.66666666666667,20,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1990,4.25635,17,34,192,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1991,3.5412,13,26,189,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1994,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1995,4.29866666666667,22.6666666666667,68,300,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
1996,5.8183,10,10,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1998,4.2371,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1999,4.94304,13.6,68,423,77,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
2000,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2001,3.6584,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2002,4.7927,12,24,189,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2003,5.9155,22,22,73,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2005,4.0051,30,60,196,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
2006,4.932,18,18,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2007,4.4557,14,28,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2009,3.7136,22,22,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2010,4.92555,12,24,157,43,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2012,4.3812,12.6666666666667,38,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2013,4.9399,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2014,5.0693,9,18,200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
2015,4.4845,22,22,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2018,4.3983,22.5,90,390,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2019,3.7508,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2020,4.89976666666667,23.3333333333333,70,259,41,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
