"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
1979,4.1664,20,40,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1981,3.117,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1982,3.5676,16,16,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1983,3.8605,6,12,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1984,3.1198,14,14,86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1985,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1986,3.3057,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1987,3.9954,14,28,191,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1988,3.4937,28,28,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1989,4.07,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1990,3.42955,18,36,193,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1991,3.9539,7,14,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1994,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1995,4.29196666666667,12.6666666666667,38,286,14,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1996,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1998,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
1999,5.24414,8.8,44,333,167,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
2000,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2001,3.17,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2002,4.6348,16,16,88,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2003,5.5414,12,12,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2005,4.01506666666667,19.3333333333333,58,294,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,"Historical","Historical"
2006,4.89846666666667,9.33333333333333,28,250,50,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2007,4.1763,18,18,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2009,4.0557,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2010,4.63775,12,24,122,67,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2012,4.1364,16,16,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2013,4.2629,8,16,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2014,5.2575,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2015,4.4359,16,16,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2018,4.36633333333333,26.6666666666667,80,284,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2019,3.3994,12,12,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
2020,4.2171,16,64,370,30,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"Historical","Historical"
