"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","period","scenario"
2061,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2062,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2063,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2064,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2065,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2066,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2067,3.1159,7,14,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2068,2.9106,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2069,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2070,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2071,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2072,3.0197,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2073,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2074,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2075,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2076,3.74785,25,50,180,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Future2","ssp370"
2077,3.44175,12.5,25,200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Future2","ssp370"
2078,3.389,7.5,15,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2079,3.2989,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2080,5.5392,16,16,81,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2081,3.2691,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2082,2.5695,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2083,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2084,2.6898,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2085,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2086,3.26195,13.5,27,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2087,3.20785,7.25,29,400,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2088,3.60423333333333,7,21,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2089,3.07865,8.5,17,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2090,3.0544,13,13,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2091,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2092,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2093,4.0132,30,30,93,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2094,3.0543,8,16,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2095,2.833,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2096,4.09775,19.5,39,190,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Future2","ssp370"
2097,3.9577,25,50,178,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Future2","ssp370"
2098,3.91282,11.4,57,500,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,"Future2","ssp370"
2099,3.11,5.5,11,200,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"Future2","ssp370"
